54;V0873;Aql;184501+0034.1;52026.09;0.357574;12.89;0.61;EW/KW:;18;84;01;+;00;34.1
55;T;Aql;184544+0844.6;52368.1;78.314217;9.09;0.39;LB:;18;84;44;+;08;44.6
56;V1549;Aql;184632-0257.4;52273.9;147.131180;13.04;0.55;SR;18;84;32;-;02;57.4
57;V0473;Aql;184638+1129.4;52851.8;180.000000;12.97;0.71;LB;18;84;38;+;11;29.4
58;AB;Aql;184743-0200.6;52125.4;59.742645;9.91;0.64;LB;18;84;43;-;02;00.6
59;V0912;Aql;184816+0049.1;51971.4;4.400302;10.89;0.71;DCEP;18;84;16;+;00;49.1
60;V0476;Aql;184848+0708.8;52179.06;0.624675;12.64;0.55;RRC:;18;84;48;+;07;08.8
61;V0477;Aql;184924+0835.7;52637.9;290.755280;10.43;0.44;LB;18;84;24;+;08;35.7
62;V0480;Aql;185035+0707.5;52219.6;18.994061;12.12;0.86;LB;18;85;35;+;07;07.5
63;V1550;Aql;185043-0334.6;52041.7;37.866570;10.85;0.22;SR;18;85;43;-;03;34.6
64;V0482;Aql;185151+1037.8;52479.2;84.469597;11.26;0.15;LB;18;85;51;+;10;37.8
65;VW;Aql;185255+1141.0;52550.5;99.258865;10.28;0.73;L;18;85;55;+;11;41.0
66;V1495;Aql;185318-0006.5;51981.6;8.795172;11.67;0.65;DCEP;18;85;18;-;00;06.5
67;V1496;Aql;185459-0004.6;52133.3;66.038879;10.00;0.43;DCEP:;18;85;59;-;00;04.6
68;V0882;Aql;185502+0033.9;51982.64;0.509610;13.14;1.16;RRAB;18;85;02;+;00;33.9
69;V1182;Aql;185523+0920.7;52180.801;1.621900;8.58;0.17;EB/KE:;18;85;23;+;09;20.7
70;V0489;Aql;185535+1204.5;52451.4;28.645847;12.99;0.86;L:;18;85;35;+;12;04.5
71;PZ;Aql;185556-0252.8;51988.8;8.759312;11.34;0.73;CWA;18;85;56;-;02;52.8
72;V0867;Aql;185611-0015.7;52599.4;190.217392;12.38;1.41;M;18;85;11;-;00;15.7
73;V0868;Aql;185648+0148.9;54690.2;735.721924;12.69;1.01;L:;18;85;48;+;01;48.9
74;V0840;Aql;185718+0641.9;52363;84.615387;9.39;0.41;SR;18;85;18;+;06;41.9
75;V0493;Aql;185724-0043.8;51987.05;2.987795;10.70;0.63;DCEP;18;85;24;-;00;43.8
76;V1313;Aql;185724+1042.5;52397.5;8.043000;13.33;0.58;RR:;18;85;24;+;10;42.5
77;UW;Aql;185734+0027.4;52046.5;26.418573;8.82;0.18;LC;18;85;34;+;00;27.4
78;EU;Aql;185824+1647.0;53190.5;165.000000;11.39;1.44;M;18;85;24;+;16;47.0
79;V0490;Aql;185826+1259.4;52961.7;80.791397;11.85;0.65;LB;18;85;26;+;12;59.4
80;UV;Aql;185833+1421.8;53518.2;536.872742;8.54;0.37;SRA;18;85;33;+;14;21.8
81;V0802;Aql;185855-0301.2;51980.302;0.133803;12.64;0.50;DSCT;18;85;55;-;03;01.2
82;V0801;Aql;185858-0630.8;52064.6;14.161550;13.08;0.58;CWA;18;85;58;-;06;30.8
83;AC;Aql;185908-1141.0;52391.7;160.550461;11.44;1.33;SRA;18;85;08;-;11;41.0
84;V1184;Aql;185915+1022.5;52384.407;0.220340;13.03;0.45;EW/KE:;18;85;15;+;10;22.5
