Cyg;V2367;DSCT;52570.0240;0.1766440;0;19.579;45.904;11.1;11.5;0.1
Cyg;V2455;DSCT;52885.3990;0.0942060;0;21.474;46.675;8.5;9;0.1
Cyg;XX;SXPHE;44455.3945;0.1348651;0;20.054;58.955;11.3;12.1;0.1
Cyg;XZ;RRAB;48570.5800;0.4665993;56486.3999999999;19.541;56.388;10.16;8.9;0.1
Del;DX;RRAB;39367.3200;0.4726190;56504.5;20.791;12.464;10.26;9.52;0.004
Dra;BK;RRAB;53521.5032;0.5920801;56498.5;19.306;66.413;11.87;10.59;0.003
Dra;DD;RRC;51352.4984;0.3267934;56485.5;18.735;60.770;12;11.2;0.1
Dra;GSC 3863-0740;DSCT;53795.4230;0.1977020;0;14.694;56.438;11.4;11.7;0.1
Dra;GSC 4237-0482;DSCT;51519.6410;0.0922723;0;20.353;62.049;12.4;12.7;0.1
Dra;GSC 4552-1498;DSCT;53321.5350;0.0558110;0;11.407;77.704;12.9;13.4;0.1
Dra;LW;DSCT;51697.6040;0.1181533;0;19.107;68.484;11.1;11.4;0.1
Dra;RW;RRAB;39377.3910;0.4429220;56863.5;16.592;57.840;12.08;11.05;0.1
Dra;SU;RRAB;54584.3921;0.6604247;56737.3999999999;11.632;67.330;10.27;9.18;0.004
Dra;SW;RRAB;54162.3980;0.5696719;56754.3999999999;12.296;69.511;10.94;9.94;0.004
Eri;SV;RRAB;47176.8650;0.7138770;53730.3999999999;3.198;-11.354;10.23;9.56;0.009
Gem;GSC 0753-1489;DSCT;52387.6260;0.0932510;0;7.081;10.457;12.2;12.6;0.1
Gem;GSC 1924-1134;DSCT;55837.6023;0.0885350;0;7.744;29.206;12.6;13;0.1
Gem;RR;RRAB;41357.8200;0.3972916;56727.3999999999;7.359;30.883;11.99;10.62;0.002
Gem;SZ;RRAB;48500.3256;0.5011336;56712.3999999999;7.895;19.273;12.25;10.98;0.003
Her;AR;RRAB;54683.4366;0.4699876;56875.5;16.009;46.924;11.63;10.59;0.004
Her;DY;DSCT;50975.4428;0.1486312;0;16.522;11.998;10.7;0;0.1
Her;GSC 2043-1201;DSCT;52701.1050;0.0779343;0;16.445;23.495;11.9;12.2;0.1
Her;GSC 2080-0986;DSCT;52707.1530;0.0991960;0;17.617;25.536;13.3;13.6;0.1
Her;GSC 2108-1564;DSCT;52729.0940;0.0981180;0;18.796;23.220;11.4;11.7;0.1
Her;TW;RRAB;54704.4397;0.3995998;56157.3999999999;17.909;30.411;11.83;10.52;0.002
Her;V1086;DSCT;52451.0770;0.1305970;0;16.811;30.463;13.4;13.7;0.1
Her;V1116;DSCT;51391.9640;0.0946830;0;16.505;16.918;11.5;11.8;0.1
Her;V1139;DSCT;51486.3100;0.0685870;0;15.841;45.964;12.7;13;0.1
Her;V1209;DSCT;54138.9690;0.0512964;0;16.685;40.708;13.8;14.5;0.1
Her;VX;RRAB;54608.4004;0.4553593;56816.3999999999;16.511;18.367;11.21;9.89;0.003
Her;VZ;RRAB;54542.5433;0.4403299;56801.3999999999;17.218;35.979;12.04;10.72;0.002
Hya;ET;RRAB;39500.5040;0.6855245;52320.5;8.585;-8.836;12;10.9;0.003
Hya;SZ;RRAB;48500.0230;0.5372240;54509.3999999999;9.230;-9.319;11.84;10.44;0.003
Hya;WZ;RRAB;54194.5970;0.5377147;54912.3999999999;10.223;-13.138;11.28;10.27;0.004
Lac;DE;DSCT;42659.8190;0.2536934;0;22.169;40.920;10.08;10.43;0.1
Lac;KZ;DSCT;54075.5780;0.1044160;0;22.313;50.530;14.5;15.2;0.1
Leo;GSC 4923-0693;DSCT;51871.0520;0.0665490;0;11.422;0.787;13;13.7;0.1
Leo;SS;RRAB;54099.6692;0.6263330;56002.5;11.565;-0.033;11.56;10.38;0.003
Leo;ST;RRAB;39260.4219;0.4779840;55672.5;11.642;10.562;12.02;10.74;0.003
Lep;U;RRAB;41352.3800;0.5814764;54145.3999999999;4.938;-21.217;11.11;9.84;0.003
